hex,variables
#2E3440,$nord-0 $nord-polar-night-0 $nord-black
#3B4252,$nord-1 $nord-polar-night-1
#434C5E,$nord-2 $nord-polar-night-2
#4C566A,$nord-3 $nord-polar-night-3
#D8DEE9,$nord-4 $nord-snow-storm-0
#E5E9F0,$nord-5 $nord-snow-storm-1
#ECEFF4,$nord-6 $nord-snow-storm-2 $nord-white
#8FBCBB,$nord-7 $nord-frost-0
#88C0D0,$nord-8 $nord-frost-1
#81A1C1,$nord-9 $nord-frost-2
#5E81AC,$nord-10 $nord-frost-3 $nord-blue
#BF616A,$nord-11 $nord-aurora-0 $nord-red
#D08770,$nord-12 $nord-aurora-1 $nord-orange
#EBCB8B,$nord-13 $nord-aurora-2 $nord-yellow
#A3BE8C,$nord-14 $nord-aurora-3 $nord-green
#B48EAD,$nord-15 $nord-aurora-4 $nord-purple
