hex,variables
#3571C0,$pols-us-primary-dem-0
#D9C3A5,$pols-us-primary-dem-1
#8998AB,$pols-us-primary-dem-2
#9AD3FC,$pols-us-primary-dem-3
#C3F4CD,$pols-us-primary-dem-4
#5DAED4,$pols-us-primary-dem-5
#8ABDC0,$pols-us-primary-dem-6
#775180,$pols-us-primary-dem-7
#FFD682,$pols-us-primary-dem-8
#948064,$pols-us-primary-dem-9
#FE5C40,$pols-us-primary-gop-0
#B8948E,$pols-us-primary-gop-1
#FBA723,$pols-us-primary-gop-2
#FFB2CB,$pols-us-primary-gop-3
#B41E61,$pols-us-primary-gop-4
#433E76,$pols-us-primary-gop-5
#AC5141,$pols-us-primary-gop-6
#7957B4,$pols-us-primary-gop-7
#FEE0C2,$pols-us-primary-gop-8
#FD87F7,$pols-us-primary-gop-9
